ID,CAT,AVG,STDEV,1AQ1,1CKP,1DI8,1DM2,1E1V,1E1X,1FVT,1G5S,1GIH,1GII,1GIJ,1GZ8,1H00,1H01,1H07,1H08,1H0V,1H0W,1JSV,1JVP,1KE5,1KE6,1KE7,1KE8,1KE9,1OIQ,1OIR,1OIT,1P2A,1PF8,1PXI,1PXJ,1PXK,1PXL,1PXM,1PXN,1PXO,1PXP,1PYE,1R78,1URW,1V1K,1VYZ,1W0X,MWT,LGP,ADS,PDS,HBD,HBA,PSA,CHG,NRB,SMILES
06716957,dbap,-10.460,0.519,-10.751,-10.006,-10.174,-10.201,-10.452,-11.244,-10.715,-10.339,-10.510,-10.341,-10.233,-9.660,-10.219,-10.655,-10.693,-11.226,-10.686,-10.609,-9.802,-10.570,-10.605,-10.618,-10.212,-10.532,-9.907,-9.782,-10.647,-10.722,-10.315,-11.498,-9.232,-9.963,-9.899,-10.783,-11.474,-10.576,-11.692,-11.448,-9.976,-10.314,-10.289,-9.919,-10.171,-10.588,529.526,4.99,2.61,-18.18,2,8,97,0,7,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F
03830332,fda,-10.435,0.497,-10.500,-10.540,-10.397,-10.528,-9.950,-10.097,-10.266,-10.907,-10.504,-10.285,-10.803,-9.414,-10.249,-11.312,-10.213,-10.850,-10.557,-10.121,-10.270,-10.920,-10.407,-10.287,-10.337,-10.573,-10.171,-9.972,-11.073,-11.054,-10.199,-11.615,-9.904,-10.677,-9.834,-10.163,-9.884,-9.785,-11.421,-11.577,-10.436,-10.894,-10.342,-10.166,-9.702,-9.963,606.594,1.21,-16.41,-103.35,3,13,224,-2,7,c1ccc2c(c1)c(ccc2S(=O)(=O)[O-])/N=N/c3cc(c(c(c3O)/N=N/c4ccc(c5c4cccc5)S(=O)(=O)[O-])O)CO
03784182,dbap,-10.383,0.630,-11.461,-10.886,-10.476,-10.251,-9.140,-9.739,-10.530,-11.497,-11.091,-10.041,-10.332,-9.570,-9.800,-10.834,-10.805,-9.969,-9.190,-10.471,-9.178,-11.251,-10.444,-10.565,-9.907,-10.018,-10.520,-10.542,-11.373,-10.344,-10.954,-10.829,-9.518,-9.471,-9.740,-9.977,-9.830,-9.904,-10.488,-10.804,-11.320,-11.018,-10.515,-10.664,-10.791,-10.823,411.521,7.69,15.7,-51.53,0,3,49,-1,4,COc1ccc(cc1C23CC4CC(C2)CC(C4)C3)c5ccc6cc(ccc6c5)C(=O)[O-]
53073961,dbap,-10.274,0.471,-10.895,-10.148,-10.411,-10.921,-9.412,-10.470,-10.081,-10.689,-11.297,-10.613,-10.433,-8.899,-9.768,-10.535,-10.601,-10.468,-9.642,-10.137,-9.371,-10.004,-10.280,-10.146,-10.441,-10.320,-10.289,-9.957,-10.276,-10.047,-10.628,-10.647,-9.881,-9.889,-10.402,-9.860,-10.541,-11.253,-10.698,-10.361,-10.561,-10.679,-10.251,-9.666,-10.065,-10.108,588.552,7.83,14.21,-12.73,1,6,58,0,10,c1ccc(c(c1)C(=O)OCCN2CCN(CC2)c3cccc(c3)C(F)(F)F)Nc4ccnc5c4ccc(c5)C(F)(F)F
52955754,dbap,-10.270,0.808,-12.082,-10.411,-10.672,-9.459,-8.714,-10.560,-9.865,-10.402,-11.314,-10.961,-10.882,-8.890,-12.486,-10.936,-10.393,-10.783,-9.305,-10.402,-9.116,-11.705,-9.896,-9.892,-9.463,-10.084,-10.194,-9.646,-10.373,-9.972,-10.672,-10.077,-9.780,-9.364,-9.701,-10.371,-9.686,-10.700,-10.912,-10.810,-10.474,-11.078,-10.568,-8.972,-9.471,-10.405,581.673,2.08,7.36,-18.87,3,10,118,0,4,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)Cc4ccccc4)NC(=O)[C@H]5CN([C@@H]6Cc7c[nH]c8c7c(ccc8)C6=C5)C
02036732,fda,-10.267,0.570,-10.317,-9.963,-10.438,-10.531,-10.867,-11.061,-10.278,-10.056,-10.874,-9.915,-10.764,-9.024,-9.746,-9.997,-9.640,-10.862,-10.170,-9.853,-9.483,-11.188,-9.969,-10.050,-9.929,-10.025,-10.304,-9.799,-10.068,-9.986,-10.249,-11.211,-9.523,-9.645,-10.515,-10.638,-10.406,-11.206,-10.842,-11.459,-9.742,-10.237,-10.677,-8.975,-10.618,-10.663,301.321,4.11,1.48,-51.86,0,3,57,-1,4,c1cc2cccc-3c2c(c1)-c4c3cc(cc4)C(=O)CCC(=O)[O-]
03830768,fda,-10.235,0.747,-11.123,-10.327,-11.248,-10.861,-9.858,-10.352,-11.073,-11.875,-11.270,-10.364,-10.379,-9.353,-9.540,-11.257,-10.242,-9.793,-9.504,-10.580,-8.860,-11.306,-10.153,-11.066,-9.494,-9.999,-10.434,-10.903,-10.176,-9.670,-10.344,-9.756,-9.413,-9.092,-8.929,-9.582,-9.910,-9.351,-9.963,-10.393,-10.517,-11.033,-11.207,-10.886,-9.156,-9.732,376.496,5.78,1.02,-8.66,1,3,46,0,3,C[C@@]12CC[C@H]3c4ccc(cc4CC[C@@H]3[C@@H]1CC[C@@H]2O)OC(=O)c5ccccc5
03830769,fda,-10.097,0.578,-10.737,-9.916,-10.253,-9.876,-9.004,-9.845,-9.869,-10.726,-10.702,-9.907,-10.201,-9.246,-9.911,-10.316,-9.815,-10.779,-9.556,-9.892,-8.805,-11.311,-9.678,-10.709,-9.468,-9.190,-9.863,-10.412,-10.772,-10.395,-10.127,-11.199,-10.219,-9.592,-9.496,-9.951,-9.236,-10.337,-10.598,-10.385,-9.994,-10.974,-10.533,-9.945,-9.812,-10.700,376.496,5.78,0.94,-8.78,1,3,46,0,3,C[C@]12CC[C@H]3c4ccc(cc4CC[C@@H]3[C@@H]1CC[C@@H]2O)OC(=O)c5ccccc5
03881613,dbap,-10.083,0.645,-10.806,-10.166,-10.397,-10.584,-9.090,-10.208,-10.247,-10.843,-10.681,-9.648,-9.926,-9.312,-9.953,-10.818,-9.821,-10.399,-9.654,-9.690,-8.665,-10.910,-10.044,-10.463,-9.534,-9.823,-9.921,-8.866,-11.313,-10.392,-9.692,-10.904,-9.496,-9.647,-9.218,-9.442,-9.776,-10.773,-11.205,-10.956,-9.512,-10.576,-10.753,-9.529,-9.561,-10.436,406.566,5.51,15.62,-11.08,0,3,43,0,5,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCc4ccccc4)CCC5=CC(=O)CC[C@H]35
01542113,dbap,-10.059,0.505,-10.526,-9.975,-10.151,-9.523,-10.162,-10.178,-10.311,-10.067,-10.426,-9.621,-10.020,-9.798,-10.135,-10.834,-11.026,-10.611,-9.687,-9.610,-9.053,-10.115,-9.572,-10.273,-9.436,-9.976,-9.869,-9.521,-10.816,-10.092,-9.907,-11.181,-9.409,-9.597,-9.461,-10.449,-9.941,-10.503,-11.243,-10.748,-9.968,-9.760,-9.803,-9.422,-9.719,-10.105,442.543,3.77,-2.43,-54.09,4,7,103,1,7,c1cc2c(cc1C#N)c(c[nH]2)CCCC[NH+]3CCN(CC3)c4ccc5c(c4)cc(o5)C(=O)N
