b,p,x,y
PDBbind v2012,idock,0.5,0.10
PDBbind v2012,idock,1.0,0.26
PDBbind v2012,idock,1.5,0.43
PDBbind v2012,idock,2.0,0.51
PDBbind v2012,idock,2.5,0.56
PDBbind v2012,Vina,0.5,0.12
PDBbind v2012,Vina,1.0,0.31
PDBbind v2012,Vina,1.5,0.47
PDBbind v2012,Vina,2.0,0.56
PDBbind v2012,Vina,2.5,0.61
PDBbind v2011,idock,0.5,0.11
PDBbind v2011,idock,1.0,0.29
PDBbind v2011,idock,1.5,0.45
PDBbind v2011,idock,2.0,0.53
PDBbind v2011,idock,2.5,0.58
PDBbind v2011,Vina,0.5,0.12
PDBbind v2011,Vina,1.0,0.31
PDBbind v2011,Vina,1.5,0.47
PDBbind v2011,Vina,2.0,0.56
PDBbind v2011,Vina,2.5,0.61
CSAR NRC HiQ,idock,0.5,0.20
CSAR NRC HiQ,idock,1.0,0.45
CSAR NRC HiQ,idock,1.5,0.61
CSAR NRC HiQ,idock,2.0,0.70
CSAR NRC HiQ,idock,2.5,0.73
CSAR NRC HiQ,Vina,0.5,0.21
CSAR NRC HiQ,Vina,1.0,0.47
CSAR NRC HiQ,Vina,1.5,0.67
CSAR NRC HiQ,Vina,2.0,0.73
CSAR NRC HiQ,Vina,2.5,0.76
