Partition,PDB,pKd
1,2r58,2.00
1,3ao4,2.07
1,3l7d,2.18
1,2aac,2.22
1,1ew8,2.26
1,3dyo,2.30
1,4g0y,2.30
1,3t0d,2.37
1,3dxg,2.40
1,3l79,2.46
1,3g30,2.51
1,4g0q,2.52
1,3gvb,2.59
1,3a1e,2.66
1,3bra,2.70
1,1rql,2.75
1,3djx,2.81
1,3zt2,2.84
1,1iih,2.89
1,2fw6,2.92
1,2vmc,2.94
1,3imc,2.96
1,1ecq,3.00
1,3ime,3.00
1,1ws5,3.03
1,1f74,3.05
1,1y1z,3.08
1,3f78,3.10
1,2ymd,3.16
1,3dxh,3.19
1,1ew9,3.22
1,2uy3,3.22
1,3ta1,3.25
1,3d52,3.28
1,1d7j,3.30
1,3hcm,3.30
1,2pnc,3.33
1,2vc7,3.36
1,2fzg,3.38
1,1l83,3.40
1,2vvp,3.40
1,2sim,3.42
1,3nik,3.45
1,2p3i,3.48
1,1utn,3.49
1,2vw1,3.52
1,1v2r,3.55
1,3ff3,3.57
1,1d7i,3.60
1,3afk,3.60
1,3jzj,3.61
1,2rk8,3.64
1,3oy8,3.66
1,1c3x,3.68
1,3d7b,3.69
1,1pdz,3.70
1,3n7a,3.70
1,1grp,3.72
1,3fjg,3.73
1,2x09,3.76
1,3ao2,3.77
1,1nje,3.80
1,3ai8,3.81
1,3lzz,3.84
1,3spf,3.86
1,1m0q,3.89
1,1avn,3.90
1,2vhj,3.90
1,1kuk,3.91
1,2a5b,3.93
1,1mrs,3.96
1,4agn,3.97
1,1e5j,4.00
1,2buv,4.00
1,3a1c,4.00
1,1v2w,4.01
1,2qrm,4.03
1,1li2,4.04
1,2w66,4.05
1,3m3c,4.06
1,2rke,4.08
1,3g2n,4.09
1,3iod,4.10
1,3oyw,4.11
1,4de2,4.12
1,2v2q,4.15
1,3d51,4.15
1,1v2s,4.17
1,1hi3,4.19
1,3sv2,4.19
1,3djp,4.20
1,1kv5,4.22
1,3kyq,4.22
1,3h78,4.24
1,1m5w,4.27
1,1e2l,4.29
1,1amk,4.30
1,3ivg,4.30
1,1ajq,4.31
1,4rsk,4.32
1,2ha5,4.34
1,3su2,4.35
1,1bhf,4.38
1,2hjb,4.39
1,4dy6,4.40
1,3rsx,4.41
1,4ek9,4.42
1,3m3e,4.43
1,2wbg,4.45
1,1jaq,4.48
1,4dhl,4.48
1,3hl8,4.49
1,3sw8,4.50
1,4g90,4.51
1,2a4m,4.52
1,3r6u,4.52
1,1oko,4.54
1,1utc,4.55
1,3rr4,4.55
1,2jiw,4.59
1,4g8y,4.59
1,2pyy,4.60
1,2x0y,4.60
1,3lgs,4.61
1,2xm2,4.62
1,3qtv,4.65
1,2ha2,4.66
1,1xge,4.68
1,3ujd,4.69
1,2dw7,4.70
1,3k5i,4.70
1,1v2t,4.71
1,3ebo,4.72
1,1w4p,4.74
1,3lcv,4.74
1,3o5n,4.76
1,3d50,4.77
1,3eb1,4.79
1,3bpc,4.80
1,1f8e,4.82
1,2gzl,4.82
1,3vd4,4.82
1,1n51,4.85
1,2w4x,4.85
1,3ru1,4.85
1,3lp4,4.88
1,2vo5,4.89
1,3cf8,4.90
1,1h1p,4.92
1,2y7k,4.93
1,2vo4,4.94
1,2x95,4.95
1,1uz8,4.96
1,3veh,4.96
1,1byk,5.00
1,1ql7,5.00
1,2vxn,5.00
1,3omc,5.00
1,4dds,5.01
1,2qt5,5.03
1,3s76,5.05
1,2c3l,5.07
1,3qyy,5.08
1,1ez9,5.10
1,1w7g,5.10
1,3p4v,5.10
1,1yp9,5.11
1,1qaw,5.12
1,4f1l,5.12
1,2yaz,5.14
1,1qk3,5.15
