Cluster,PDB,pKd
A,1a9m,6.92
A,1a94,7.85
A,1c70,10.30
A,2aod,5.66
A,1hvs,10.30
A,1hvr,9.51
A,1ebw,9.05
A,1hvh,7.96
A,1hvj,11.40
A,1eby,9.70
A,1ebz,9.40
A,2qd7,9.10
A,2qd6,8.68
A,2qd8,9.07
A,1nh0,9.74
A,1hos,8.55
A,1bv9,8.96
A,1bv7,9.30
A,1zp8,8.77
A,1zpa,8.40
A,1aaq,8.40
A,2f80,8.18
A,2f81,10.52
A,1ec3,9.04
A,1ec2,10.00
A,1ec1,8.92
A,1ec0,8.49
A,1sdt,9.27
A,1sdu,10.07
A,1sdv,8.74
A,2uy0,6.92
A,2avv,9.26
A,2avq,4.39
A,2avs,7.57
A,2avm,5.70
A,2avo,8.85
A,1gnn,5.68
A,1gno,7.70
A,1gnm,6.25
A,1hxb,9.92
A,1d4h,10.00
A,1hxw,10.82
A,2ien,9.00
A,2ieo,8.49
A,2uxz,8.48
A,2aqu,9.32
A,2hs2,8.31
A,1hih,8.05
A,2idw,8.89
A,2psv,7.24
A,2psu,7.62
A,2q5k,11.30
A,1dmp,9.55
A,1izh,7.70
A,1izi,6.59
A,1a30,4.30
A,1mrx,7.26
A,1ohr,8.70
A,3cyw,7.77
A,1hvi,10.92
A,1hvk,10.96
A,1hvl,9.95
A,1sgu,5.37
A,1msn,9.09
A,1hpx,11.26
A,3aid,6.86
A,2pwr,6.59
A,1qbs,9.47
A,1g2k,7.96
A,2hs1,8.48
A,7upj,8.49
A,2o4p,10.72
A,2q54,9.01
A,2q55,8.69
A,1msm,10.48
A,2aog,6.28
A,1iiq,7.48
A,1sh9,6.03
A,2qci,8.34
A,2pqz,5.67
A,1g35,8.14
A,1tcx,6.95
A,1ajv,7.72
A,1ajx,7.91
A,1ody,8.10
A,2r38,7.44
A,1d4y,11.10
A,1d4l,8.77
A,1d4j,8.36
A,2r3t,5.85
A,2r3w,6.89
A,2cej,8.62
A,2cen,8.30
A,2r5p,8.48
A,1z1r,9.22
A,1z1h,8.40
A,1kzk,10.39
A,1t7j,8.70
A,2aoc,4.89
A,2aoe,7.62
A,2qhz,7.28
A,2pwc,6.57
A,1qbr,10.57
A,1qbt,10.62
A,1qbu,10.24
A,1dif,10.66
A,1b6k,8.74
A,1b6j,7.92
A,1b6m,8.40
A,1b6l,8.30
A,2i4x,10.54
A,2i4w,11.59
A,2i4v,10.21
A,2i4u,11.57
A,2q64,8.52
A,2i4d,11.68
A,2q63,7.18
A,2hb3,11.35
A,1hpo,9.22
A,1hpv,9.22
A,1hps,9.22
A,2fgu,9.18
A,2fgv,6.12
A,3d20,8.30
A,1aid,4.82
A,1d4k,9.22
A,1d4i,8.85
A,1mtr,8.40
A,3d1z,8.80
A,3d1x,8.66
A,3d1y,8.22
A,2p3b,8.48
A,2p3a,7.96
A,2bpv,7.67
A,2bpy,7.40
A,2qnq,6.11
A,2qnp,6.41
A,2qnn,7.15
A,2bqv,8.05
A,1mrw,9.70
A,2f8g,8.70
A,2nmz,8.37
A,2nmy,8.37
A,2nmw,8.41
A,2qi0,7.38
A,2qi1,7.30
A,2qi3,10.20
A,2qi4,10.44
A,2qi5,10.85
A,2qi6,10.57
A,2qi7,10.21
A,3djk,10.59
A,1zsr,9.82
A,3bva,6.52
A,3bvb,5.49
A,1zsf,9.92
A,2z4o,9.57
A,2i0a,11.40
A,1hbv,6.37
A,1lzq,8.39
A,2nnp,8.37
A,2o4s,10.51
A,2o4k,10.46
A,2o4l,9.22
A,2o4n,7.82
A,2nnk,8.37
A,3bgb,6.05
A,3bgc,5.02
A,3cyx,8.00
A,2qhy,7.48
A,1mes,7.70
A,1met,9.40
A,1pro,11.30
A,1m0b,8.82
